id,title,subtitle,author,translator,language,series,category,edition,variant,price,special_price,deluxe_price,pages,description,image_url,local_image_filename,source_url,notes
11,Bhakthibhandari Basavannanavaru (Kannada),,M.R. Srinivasamurthy,,Kannada,,Biography / Classic,2nd edition (JSS Granthamale first edition: 2009),,Rs.150,,Rs.250,272,"Classic work and one of earliest biographies of Sri Basaveshwara, written by Sri M.R. Srinivasa Murthy. First published in 1931. Under JSS Granthamale first published in 2009; this is the second edition.",https://jssonline.org/wp-content/uploads/2021/11/2_bhaktibandari-basavanna.jpg,books/bhakthibhandari-basavannanavaru-kannada/cover.jpg,https://jssonline.org/publications/books-published/bhakthibhandari-basavannanavaru-kannada/,
12,Neethi Samrajya Shathaka (Kannada),,Sri Shivayya Shastri,,Kannada,,Ethics / Philosophy,,,Rs.40,,,57,"Originally by Sri Shivayya Shastri. Contains 100 verses, edited and revised by Sri S. Nanjundaiah, Retired Professor of Kannada, with commentary. Deals with morals of the people.",https://jssonline.org/wp-content/uploads/2021/11/7_Neethisamrajya_Shataka.jpg,books/neethi-samrajya-shathaka-kannada/cover.jpg,https://jssonline.org/publications/books-published/neethi-samrajya-shathaka-kannada/,
13,Swathantra Siddalingeshwararu – Vichara Sankirana (Kannada),,Dr. Mruthyunjaya Rumale,,Kannada,,Research / History / Religion,2nd reprint,,Rs.60,,,120,"Research articles from seminar on Swatantra Siddalingeshwara (15th century). Four research papers by eminent scholars, seminar proceedings, photographs. First edition: 2016. Second reprint.",https://jssonline.org/wp-content/uploads/2021/11/10_Swantantra-Siddalingeshwararu.jpg,books/swathantra-siddalingeshwararu-vichara-sankirana-kannada/cover.jpg,https://jssonline.org/publications/books-published/swathantra-siddalingeshwararu-vichara-sankirana-kannada/,
14,"Sutturu Srimathada Granthalaya, Mysuru (Kannada)",,Dr. C.P. Ramashesha,,Kannada,,Library Science / History,,,Rs.50,,,73,"Brief introduction about Library of Suttur Sri Math (Mysuru). Narrates wide range and genre of books. Written by Dr. C.P. Ramashesha, Former Librarian, University of Mysore. Includes library science principles.",https://jssonline.org/wp-content/uploads/2021/11/9_Suttur-Srimathada-Granthalaya.jpg,books/sutturu-srimathada-granthalaya-mysuru-kannada/cover.jpg,https://jssonline.org/publications/books-published/sutturu-srimathada-granthalaya-mysuru-kannada/,
15,Basava Darshana (English),,S.M. Angadi,,English,,Biography / Philosophy / Veerashaiva,Abridged edition (published after 35 years),,Rs.300,Rs.400,,388,"Originally by Sri S.M. Angadi, associated with Shunya Sampadane Project of Karnatak University. Present edition abridged by Dr. D.A. Shankar, Retd. Professor of English, University of Mysore. Poetic narration of Basaveshwara's life and message in free verse. Introduction by Dr. K.R. Srinivasa Iyengar, University of Madras.",https://jssonline.org/wp-content/uploads/2021/11/1_jss-basava_darshana-book.jpg,books/basava-darshana-english/cover.jpg,https://jssonline.org/publications/books-published/basava-darshana-english/,
16,Globalization: Challenges and the Need for Co-operation,,Dr. Gita Gopinath,,English,Golden Jubilee Endowment Series (No. 9),Economics / Globalization,,,Rs.50,,,40,Intricacies of fiscal activities in backdrop of world economy. Emphasis on developing Asian nations and challenges faced through tools of co-operation.,https://jssonline.org/wp-content/uploads/2021/11/4_jss-globalisation_challenges.jpg,books/globalization-challenges-and-the-need-for-co-operation/cover.jpg,https://jssonline.org/publications/books-published/globalization-challenges-and-the-need-for-co-operation/,
17,Space Technology and Societal Applications,,Dr. A.S. Kirankumar,,English,Golden Jubilee Endowment Series (No. 7),Science / Space / ISRO,,,Rs.50,,,43,Narrating multifarious activities of ISRO in rebuilding Modern India.,https://jssonline.org/wp-content/uploads/2021/11/8_jss_Space_Technology.jpg,books/space-technology-and-societal-applications/cover.jpg,https://jssonline.org/publications/books-published/space-technology-and-societal-applications/,
18,Heart To Heart (Enlarged Edition),,Dr. A.P.J. Abdul Kalam,,English,,Speeches / Inspiration,Enlarged edition (2021),,Rs.350,,Rs.450,216,"23 lectures delivered at various JSS institutions by Dr. A.P.J. Abdul Kalam, teacher-statesman and Karmayogi, aimed at future generations. First edition: 2008, Enlarged edition: 2021.",https://jssonline.org/wp-content/uploads/2021/11/5_apj_abdul_kalam_heart-to-heart.jpg,books/heart-to-heart-enlarged-edition/cover.jpg,https://jssonline.org/publications/books-published/13663-2/,
19,Vrushabendra Vilasa,,Nanjunda Bhaghvat,,Kannada,,History / Literature / Classic,Current printing 1999 (Copyright 1980),,Rs.2000,,,438,Milestone in history of editing ancient works. Previously 'Shri Tattvavinishi' was published (shastra); this is poetry - a mahakavya in colour medium.,https://jssonline.org/wp-content/uploads/2018/11/vrushabendra-Vilasa.jpg,books/vrushabendra-vilasa/cover.jpg,https://jssonline.org/publications/books-published/vrushabendra-vilasa/,
20,Perspectives in Education,,All India level writer-educationalists (50 contributors),,English,,Education,,,Rs.600,,,848,Fifty articles written and contributed by all India level writer-educationalists.,https://jssonline.org/wp-content/uploads/2018/11/Perspectives-in-Education.jpg,books/perspectives-in-education/cover.jpg,https://jssonline.org/publications/books-published/perspectives-in-education/,
21,Naming the Nameless,,Rowena Hill & Prabhu Shankara,,English,,Vachana literature / Translation,,,Rs.50,,,60,Translation of 101 Kannada Vachanas of 12th century mystics and saints of Karnataka. Representative selection from major and minor writers. Exceptional relevance of women writers' attitudes.,https://jssonline.org/wp-content/uploads/2018/11/Naming-the-Nameless.jpg,books/naming-the-nameless/cover.jpg,https://jssonline.org/publications/books-published/naming-the-nameless/,
22,Forever Saints,,D A Shankar,,English,,Vachana literature / Biography,,,Rs.100,,,121,"Finest and most representative vachanas of three major Veerashaiva saints of 12th century: Basavanna, Allama Prabhu, and Akka Mahadevi in a single volume.",https://jssonline.org/wp-content/uploads/2018/11/Forever-Saints.jpg,books/forever-saints/cover.jpg,https://jssonline.org/publications/books-published/forever-saints/,
23,Heart to Heart,,Dr. A P J Abdul Kalam,,English,,Speeches / Inspiration,,,Rs.200,,,110,Ten thought-provoking lectures delivered by former President Dr. A.P.J. Abdul Kalam on various occasions in JSS Institutions.,https://jssonline.org/wp-content/uploads/2018/11/Heart-to-heart.jpg,books/heart-to-heart/cover.jpg,https://jssonline.org/publications/books-published/heart-to-heart/,
24,Nijaguna's Exposition of Spiritual Wisdom,,Sri Siddeswara Swamiji,,English,,Spirituality / Translation / Philosophy,,,Rs.60,,,119,"Free rendering in English of last section of Kaivalya Paddhati (jnana-pratipada-danasthala). Translator Sri Siddheswara Swamiji of Jnanayogasrama, Bijapur, faithful to spirit of original Kannada text.",https://jssonline.org/wp-content/uploads/2018/11/Nijaguna's-Exposition-of.jpg,books/nijagunas-exposition-of-spiritual-wisdom/cover.jpg,https://jssonline.org/publications/books-published/nijagunas-exposition-of-spiritual-wisdom/,
25,Prasada,,JSS Mahavidyapeetha,,Kannada,,Reference / Index / Literary compilation,,,Rs.200,,,650,Scientific classification and indexing of article headings published in JSS Mahavidyapeetha 'Prasada' periodical. Sourcebook for researchers and literature enthusiasts. Xerox copies available on request.,https://jssonline.org/wp-content/uploads/2018/11/Prasada.jpg,books/prasada/cover.jpg,https://jssonline.org/publications/books-published/prasada/,
26,Prasada Sampada,,JSS Mahavidyapeetha,,Kannada,,Reference / Compilation,,,Rs.200,,,650,"Selection of 74 articles published in JSS Mahavidyapeetha's bi-monthly literary periodical 'Prasada' over past 42 years, compiled for readers' use.",https://jssonline.org/wp-content/uploads/2018/11/Prasada-Sampada.jpg,books/prasada-sampada/cover.jpg,https://jssonline.org/publications/books-published/prasada-sampada/,
27,Swara Vachana Samputa,,Sri Jagadguru Shivrathrewara Ghranthmale,,Kannada,,Vachana literature / Philosophy,,,Rs.100,,,286,"Tattvikke tattva, sahityakke sahitya - Vachana literature promoting self-welfare and social welfare. Aimed at making original literature available to public.",https://jssonline.org/wp-content/uploads/2018/11/Swara-Vachana-Samputa-rev.jpg,books/swara-vachana-samputa/cover.jpg,https://jssonline.org/publications/books-published/swara-vachana-samputa/,
28,Veerashiva Dharma Darshana,,Sri Jagadguru Shivrathrewara Ghranthmale,,Kannada,,Religion / Philosophy / Veerashaiva,,,Rs.500,,,594,"Two-volume work on Veerashaiva Dharma Darshana. For those who studied 'Vishwa Dharma Darshana', this provides essential understanding. Veerashaiva Dharma has no geographical or linguistic limits. Selected best articles organized here.",https://jssonline.org/wp-content/uploads/2018/11/Veerashiva-Dharma-Darshana.jpg,books/veerashiva-dharma-darshana/cover.jpg,https://jssonline.org/publications/books-published/veerashiva-dharma-darshana/,
29,Vishwa Dharma Darshana,,Prabhushankar,,Kannada,,Religion / Philosophy / Comparative religion,,,Rs.500,,,608,"Essence articles opening readers' eyes to all religions and thoughts of the world, compiled in 'Vishwa Dharma Darshana' volumes.",https://jssonline.org/wp-content/uploads/2018/11/Vishwa-Dharma-Darshana.jpg,books/vishwa-dharma-darshana/cover.jpg,https://jssonline.org/vishwa-dharma-darshana/,
30,Yella Puratana Vachanagalu,,Madhu Venkareddy,,Kannada,,Vachana literature / Research / Reference,Three volumes published by JSS Granthamale,,Rs.200,,,420,"Research and publication of Vachana literature for a century. Discovering unpublished vachanas, publishing them, correcting errors in already published ones. Three volumes of 'Yella Puratana Vachanagalu' published by JSS Granthamale.",https://jssonline.org/wp-content/uploads/2018/11/Yella-Puratana-Vachanagalu-rev.jpg,books/yella-puratana-vachanagalu/cover.jpg,https://jssonline.org/publications/books-published/yella-puratana-vachanagalu/,
31,Veerashiva Darshana,,Dr. B V Mallapur,,Kannada,Sharana Samskruti Male,Vachana literature / Culture / Education,,,Rs.12,,,80,"Part of 'Sharana Samskruti Male' series introducing Sharana literature, life philosophy, religious and cultural traditions to students and general public. 100 books planned; 69 published so far.",https://jssonline.org/wp-content/uploads/2018/11/Veerashiva-Darshana.jpg,books/veerashiva-darshana/cover.jpg,https://jssonline.org/publications/books-published/veerashiva-darshana/,
32,Shatasthalagalu,,Annadhaniswara Mahaswamigalu,,Kannada,Sharana Samskruti Male,Vachana literature / Culture,,,Rs.12,,,77,"Part of 'Sharana Samskruti Male' series. Introduces Sharana literature, life philosophy, religious and cultural traditions to students and general public.",https://jssonline.org/wp-content/uploads/2018/11/ssmimage2.jpg,books/shatasthalagalu/cover.jpg,https://jssonline.org/publications/books-published/shatasthalagalu/,
33,Panchachara,,H Gangadharan,,Kannada,Sharana Samskruti Male,Veerashaiva / Religion / Philosophy,,,Rs.12,,,70,Part of 'Sharana Samskruti Male' series. Covers five basic principles (Panchachara) of Veerashaiva faith.,https://jssonline.org/wp-content/uploads/2018/11/Panchachara.jpg,books/panchachara/cover.jpg,https://jssonline.org/publications/books-published/panchachara/,
34,Asthavarana,,Dr. Mallikarjun S L,,Kannada,Sharana Samskruti Male,Veerashaiva / Religion / Philosophy,,,Rs.12,,,103,Part of 'Sharana Samskruti Male' series. Covers eight coverings (Ashtavarana) in Veerashaiva tradition.,https://jssonline.org/wp-content/uploads/2018/11/Asthavarana.jpg,books/asthavarana/cover.jpg,https://jssonline.org/publications/books-published/asthavarana/,
35,Shaivagamagalu,,Dr. M Shivakumar Swamigalu,,Kannada,Sharana Samskruti Male,Veerashaiva / Religion / Philosophy,,,Rs.12,,,85,Part of 'Sharana Samskruti Male' series. Covers Shaiva Agamas in Veerashaiva tradition.,https://jssonline.org/wp-content/uploads/2018/11/Shaivagamagalu.jpg,books/shaivagamagalu/cover.jpg,https://jssonline.org/publications/books-published/shaivagamagalu/,
36,Kayaka Mattu Sharanaru,,Dr. Basavaraj Malashetty,,Kannada,Sharana Samskruti Male,Vachana literature / Culture / Philosophy,,,Rs.12,,,60,Part of 'Sharana Samskruti Male' series. Covers Kayaka (labor) and Sharana traditions.,https://jssonline.org/wp-content/uploads/2018/11/Kayaka-Mattu-Sharanaru.jpg,books/kayaka-mattu-sharanaru/cover.jpg,https://jssonline.org/publications/books-published/kayaka-mattu-sharanaru/,
37,Allama Prabhu Devara Vachana,,Sri Siddheswara Swamigalu,,Kannada,Vachana Vyakyana Male,Vachana literature / Veerashaiva saints,,,Rs.300,,,1116,"Commentary on Allama Prabhu's vachanas. JSS Granthamale has published selected vachana commentaries of Basavanna, Allama Prabhu, Channabasavanna, Ganalinga Deva, and Akkamahadevi in this series.",https://jssonline.org/wp-content/uploads/2018/11/Allama-Prabhu-Devara.jpg,books/allama-prabhu-devara-vachana/cover.jpg,https://jssonline.org/publications/books-published/allama-prabhu-devara-vachana/,
38,Molige Mahadevi Vachanagalu,,Dr. Basavaraj Malashetty,,Kannada,Vachana Vyakyana Male,Vachana literature / Veerashaiva saints,,,Rs.100,,,100,Commentary on Molige Mahadevi's vachanagalu. Part of Vachana Vyakyana Male series publishing selected vachana commentaries.,https://jssonline.org/wp-content/uploads/2018/11/Molige-Mahadevi.jpg,books/molige-mahadevi-vachanagalu/cover.jpg,https://jssonline.org/publications/books-published/molige-mahadevi-vachanagalu/,
39,Sharanara Vachanagalu,,Not specified on page,,Kannada,Vachana Vyakyana Male,Vachana literature,,,Rs.180,,,320,Vachana commentary in Vachana Vyakyana Male series.,https://jssonline.org/wp-content/uploads/2018/11/Sharanara-Vachanagalu.jpg,books/sharanara-vachanagalu/cover.jpg,https://jssonline.org/publications/books-published/sharanara-vachanagalu/,
40,Sharanara Vachanagalu – Edition 4,,Dr. Jayashree,,Kannada,Vachana Vyakyana Male,Vachana literature,Edition 4,,Rs.170,,,263,Vachana commentary by Dr. Jayashree. Edition 4 of the series.,https://jssonline.org/wp-content/uploads/2018/11/VVMimage4.jpg,books/sharanara-vachanagalu-edition-4/cover.jpg,https://jssonline.org/publications/books-published/sharanara-vachanagalu-edition-4/,
41,Sharanara Vachanagalu – Edition 10,,Dr. Jayashree,,Kannada,Vachana Vyakyana Male,Vachana literature,Edition 10,,Rs.150,,,244,Vachana commentary by Dr. Jayashree. Edition 10 of the series.,https://jssonline.org/wp-content/uploads/2018/11/VVMimage5.jpg,books/sharanara-vachanagalu-edition-10/cover.jpg,https://jssonline.org/publications/books-published/sharanara-vachanagalu-edition-10/,
42,Sharanara Vachanagalu – Edition 11,,Dr. Jayashree,,Kannada,Vachana Vyakyana Male,Vachana literature,Edition 11,,Rs.160,,,278,Vachana commentary by Dr. Jayashree. Edition 11 of the series.,https://jssonline.org/wp-content/uploads/2018/11/VVMimage6.jpg,books/sharanara-vachanagalu-edition-11/cover.jpg,https://jssonline.org/publications/books-published/sharanara-vachanagalu-edition-11/,
43,Dharmaratnakara K Nandibasappa,,Prof. H T Shailaja,,Kannada,Vachana Vyakyana Male,Biography / Virashaiva personalities,,,Rs.10,,,140,Part of 'Virashaiva Punya Purusharu Male' series profiling prominent Virashaiva personalities from Chamarajanagar and Mysore districts. Lives serve as inspiration for future generations.,https://jssonline.org/wp-content/uploads/2018/11/K-Nandibasappa.jpg,books/dharmaratnakara-k-nandibasappa/cover.jpg,https://jssonline.org/publications/books-published/dharmaratnakara-k-nandibasappa/,
44,Dr. M J Najundaradya,,Prof. H T Shailaja,,Kannada,Vachana Vyakyana Male,Biography / Virashaiva personalities,,,Rs.10,,,59,Part of 'Virashaiva Punya Purusharu Male' series profiling prominent Virashaiva personalities from Chamarajanagar and Mysore districts.,https://jssonline.org/wp-content/uploads/2018/11/Dr.-M-J-Najundaradya.jpg,books/dr-m-j-najundaradya/cover.jpg,https://jssonline.org/publications/books-published/dr-m-j-najundaradya/,
45,M N Mahanthadevaru,,Prof. H T Shailaja,,Kannada,Vachana Vyakyana Male,Biography / Virashaiva personalities,,,Rs.10,,,104,Part of 'Virashaiva Punya Purusharu Male' series profiling prominent Virashaiva personalities from Chamarajanagar and Mysore districts.,https://jssonline.org/wp-content/uploads/2018/11/M-N-Mahanthadevaru.jpg,books/m-n-mahanthadevaru/cover.jpg,https://jssonline.org/publications/books-published/m-n-mahanthadevaru/,
46,C Ankappa,,Prof. M C Sarojammanni,,Kannada,Vachana Vyakyana Male,Biography / Virashaiva personalities,,,Rs.10,,,70,Part of 'Virashaiva Punya Purusharu Male' series profiling prominent Virashaiva personalities from Chamarajanagar and Mysore districts.,https://jssonline.org/wp-content/uploads/2018/11/C-Ankappa.jpg,books/c-ankappa/cover.jpg,https://jssonline.org/publications/books-published/c-ankappa/,
47,S N Mariyappa,,Prof. K Ramamurty Rao,,Kannada,Vachana Vyakyana Male,Biography / Virashaiva personalities,,,Rs.10,,,26,Part of 'Virashaiva Punya Purusharu Male' series profiling prominent Virashaiva personalities from Chamarajanagar and Mysore districts.,https://jssonline.org/wp-content/uploads/2018/11/S-N-Mariyappa.jpg,books/s-n-mariyappa/cover.jpg,https://jssonline.org/publications/books-published/s-n-mariyappa/,
48,M N Basavarajayya,,Prof. H T Shailaja,,Kannada,Vachana Vyakyana Male,Biography / Virashaiva personalities,,,Rs.10,,,64,Part of 'Virashaiva Punya Purusharu Male' series profiling prominent Virashaiva personalities from Chamarajanagar and Mysore districts.,https://jssonline.org/wp-content/uploads/2018/11/M-N-Basavarajayya-rev.jpg,books/m-n-basavarajayya/cover.jpg,https://jssonline.org/publications/books-published/m-n-basavarajayya/,
49,Sirumana charithe,,Not specified on page (Kenchishettyya Suta Raman's Sirumana Charite),,Kannada,,Biography / Folklore / History,"Published 1991 (Copyright 1980, Current printing 1999)",,Not available,,,158,"Story of Sirumana, a Palegara (feudal lord) named Sirumana. Contains war episode of Sirumana's life. Published in 1991.",https://jssonline.org/wp-content/uploads/2018/11/Sirumana-charithe.jpg,books/sirumana-charithe/cover.jpg,https://jssonline.org/publications/books-published/sirumana-charithe/,
